WHSE,DSP_LOCN,LOCN_PICK_SEQ,SKU_BRCD
1211,00 L20,,60010042
1211,00 R16,,32070104
1211,TBDL35,,57100264
1211,TBDL25,,57100004
1211,TBDL27,,57100281
1211,TBDL37,,57100269
1211,TBDL39,,57180037
1211,TBDR87,,57250070
1211,TBDL46,,57100043
1211,TBDL47,,57100042
1211,TBDR86,,58010131
1211,TBDR85,,57250064
1211,TBDL42,,57100329
1211,TBDL31,,57100078
1211,TBDL33,,57100308
1211,TBDL43,,57100327
1211,TBDL40,,57100083
1211,TBDL30,,57100036
1211,TBDL41,,57100328
1211,TBDL31,,57100309
1211,TBDL45,,57100121
1211,TBDL7,,57100306
1211,TBDL51,,57500019
1211,TBDL35,,57500021
1211,TBDL38,,57500341
1211,TBDL49,,57100019
1211,TBDL37,,57500259
1211,TBDL48,,57500016
1211,TBDR28,,57100207
1211,TBDL27,,57100202
1211,TBDL20,,57100145
1211,TBDL29,,57100003
1211,TBDL23,,57100307
1211,TBDL25,,57100018
1211,TBDL18,,57100334
1211,DLL36,,82030240
1211,DLL2,,81120001
1211,TBDR59,,58400328
1211,TBDR60,,58400331
1211,TBDR62,,58400329
1211,TBDR64,,58400146
1211,TBDR66,,58400263
1211,TBDL27,,62050060
1211,00 R19,,52010623
1211,00 R18,,52010620
1211,00 R4,,48100313
1211,00 L22,,17350062
1211,00 R74,,53450941
1211,DLR17,,82041293
1211,00 L4,,73012115
1211,00 R1,,32100070
1211,00 R8,,32100086
1211,00 R2,,32100288
1211,00 R5,,32100287
1211,00 F22,,12120186
1211,00 F6,,12120186
1211,00 R2,,31101007
1211,00 R14,,31100174
1211,00 R15,,31101656
1211,00 R16,,28200294
1211,00 R6,,32100426
1211,00 R7,,32100427
1211,PRTBD14,,84942033
1211,00 L34,,50120071
1211,00 L10,,50011165
1211,TBDL29,,88550243
1211,TBDTBD30,,88550243
1211,TBDL27,,88550102
1211,TBDTBD27,,88550102
1211,TBDTBD31,,88550302
1211,TBDL28,,88550302
1211,nullL33,,88650158
1211,nullL31,,88650323
1211,00 L4,,50010988
1211,00 L15,,73011366
1211,00 L14,,73010153
1211,00 L20,,73010693
1211,00 L52,,73011087
1211,00 L50,,73013107
1211,00 L1,,73010581
1211,00 L49,,73013004
1211,00 L46,,73013003
1211,00 L2,,73010581
1211,00 L36,,73010259
1211,00 L29,,73011695
1211,00 L47,,73013011
1211,00 L41,,73010261
1211,00 L44,,73011181
1211,00 L53,,73012186
1211,00 L29,,73011208
1211,00 L32,,73011203
1211,00 L38,,73011205
1211,00 L51,,73013002
1211,00 L42,,73010723
1211,00 L27,,73012997
1211,00 L31,,73011067
1211,00 L35,,73013008
1211,00 L32,,73010758
1211,00 L45,,73013006
1211,00 L48,,73013007
1211,00 L44,,73010224
1211,00 L43,,73010427
1211,00 L15,,73012754
1211,00 L13,,73012753
1211,00 L14,,73012752
1211,TBDR41,,58250107
1211,TBDR43,,58250003
1211,TBDR42,,58250005
1211,TBDR48,,58250178
1211,TBDR49,,58250182
1211,TBDR44,,58250024
1211,TBDR46,,58050015
1211,TBDR1,,58250008
1211,TBDR39,,58250042
1211,TBDR47,,58250120
1211,TBDR45,,58250104
1211,TBDR40,,58010563
1211,00 R16,,1059664
1211,TBDL1,,1012598
1211,00 R3,,1012598
1211,TBDL1,,1012598
1211,00 R24,,1052397
1211,TBDL15,,1015211
1211,00 R15,,1052396
1211,TBDL39,,1015211
1211,00 R4,,1015211
1211,00 L33,,73012196
1211,00 L40,,73012183
1211,00 L23,,73011947
1211,00 L3,,73011948
1211,00 L37,,73012139
1211,00 L43,,73012185
1211,00 L34,,73012227
1211,00 L41,,73012177
1211,00 L39,,73012178
1211,00 L24,,73011953
1211,00 L25,,73011952
1211,00 L37,,73012142
1211,00 L33,,73012140
1211,00 L40,,73010590
1211,00 L41,,73010498
1211,00 L42,,73010371
1211,00 L39,,73010360
1211,00 L42,,73010066
1211,00 L40,,73012228
1211,00 L26,,73011983
1211,00 L28,,73011537
1211,00 L7,,18050046
1211,00 L9,,18050044
1211,00 L1,,18010192
1211,00 L9,,18010019
1211,00 L7,,18010048
1211,00 R3,,31010518
1211,00 R1,,31010112
1211,00 R2,,31010113
1211,00 L51,,27050043
1211,00 L19,,2020685
1211,00 L3,,17010002
1211,00 R31,,28200339
1211,nullTBD2,,88560539
1211,00 L13,,60010065
1211,00 L11,,60010070
1211,LQR5,,89061090
1211,LQR37,,89052249
1211,nullR12,,86930956
1211,nullR14,,86930957
1211,nullR13,,86930954
1211,TBDR17,,58350370
